current_name,current_role,target_name,target_bundle,decision,notes
HPIA_BACKUP_V57_ONE_FILE.gs,Live backup Drive ZIP,HPIA_BACKUP_LIVE_DRIVE_DCG_v57.gs,BACKUP_DRIVE_CLASP_GITHUB,rename_later_keep_single_installed_backup,Single backup module remains valid.
97_GDVG_V44A2_SOURCE_PIECES_AND_IMPORT_MODELS_AUDIT_NO_WRITE_INSTALL_READY.gs,Booking source pieces read-only audit,HPIA_IMPORT_BOOKING_SOURCE_AUDIT_v66.gs,IMPORT_BOOKING_SOURCE_AUDIT,hold_before_install_or_merge,Safe but should not be installed as isolated sprawl.
70_GDVG_GOUVERNANCE_ONGLETS_UI.gs,Governance tabs UI,HPIA_UI_GOVERNANCE_TABS_v70.gs,UI_GOVERNANCE,rename_later_after_menu_audit,Do not touch until exact installed source is reviewed.
80_GDVG_ACTIONS_PLANNING_UI.gs,Actions planning UI,HPIA_UI_ACTIONS_PLANNING_v80.gs,UI_ACTIONS_PLANNING,rename_later_after_dependency_audit,Keep UI-specific.
90_GDVG_V42_AUDIT_NO_WRITE.gs,Dashboard/global read-only audit,HPIA_AUDIT_DASHBOARD_READONLY_v90.gs,AUDIT_DASHBOARD,rename_later_readonly,Already published read-only.
91_GDVG_V42R1_DASHBOARD_PATCH_SAFE.gs,Dashboard controlled write patch,HPIA_PATCH_DASHBOARD_CONTROLLED_v91.gs,DASHBOARD_PATCH,freeze_or_archive,Write-controlled; keep out of user menu.
92_GDVG_V43_AVIS_REPUTATION_NO_BREAK_AUDIT.gs,Reviews reputation read-only audit,HPIA_REVIEWS_REPUTATION_AUDIT_v92.gs,REVIEWS_REPUTATION,rename_later_readonly,Read-only but channel rejected raw publication.
94_GDVG_V43R2_AVIS_GITESFR_AND_SCRAPING_FINAL_COMPLETE.gs,Reviews source seed/apply,HPIA_REVIEWS_SOURCE_SEED_CONTROLLED_v94.gs,REVIEWS_REPUTATION,freeze_until_write_audit,Contains apply surface.
95_GDVG_V43R3_AVIS_LAYOUT_MEF_MEP_MAINTENANCE_FINAL_COMPLETE.gs,Reviews layout/maintenance,HPIA_REVIEWS_LAYOUT_MAINTENANCE_v95.gs,REVIEWS_REPUTATION,freeze_until_write_audit,Contains apply surface.
96_GDVG_V44A_TAXE_SEJOUR_DEEP_AUDIT_NO_WRITE.gs,Taxe sejour read-only audit,HPIA_TAXE_SEJOUR_AUDIT_v96.gs,TAXE_SEJOUR,rename_later_readonly,Read-only but channel rejected raw publication.
100_HEBERPILOT_V45B_R2_RESUME_ADMIN_PRODUCT_TABS_SAFE.js,Admin product tabs setup,HPIA_ADMIN_PRODUCT_TABS_SETUP_v100.gs,ADMIN_PRODUCT_SETUP,freeze_until_write_audit,Write-enabled risk noted earlier.
